1001002810001;281;AEROGARE D'ORLY SUD                                                             ;JOINVILLE LE PONT-RER                                                           ;0;1;0;1;0
1001002830001;283;JUVISY-SUR-ORGE RER                                                             ;DENFERT ROCHEREAU                                                               ;1;1;1;1;1
1001002850001;285;ANTONY-RER                                                                      ;LOUIS ARAGON-METRO                                                              ;0;1;1;1;1
1001002860001;286;CITE DE LA PLAINE                                                               ;LOUIS ARAGON-METRO                                                              ;1;1;1;1;1
1001002890001;289;ZONE INDUSTRIELLE (PASTEUR)                                                     ;PORTE DE SAINT CLOUD-METRO                                                      ;0;1;1;1;1
1001002900001;290;MEUDON LA FORET;MAIRIE D'ISSY-METRO                                                             ;0;1;0;1;0
1001002910001;291;PONT DE SEVRES-METRO                                                            ;EUROPE SUD                                                                      ;0;1;1;1;0
1001002920001;292;IGNY RER                                                                        ;ZAC GATINES-CAPITAINE JEAN D'HERS                                               ;0;1;0;1;0
1001002940001;294;VELIZY 2                                                                        ;CHATILLON METRO                                                                 ;0;1;1;1;0
1001002950001;295;VELIZY 2                                                                        ;PORTE D'ORLEANS-METRO                                                           ;0;1;0;1;1
1001002970001;297;PLACE CHARLES STEBER                                                            ;PORTE D'ORLEANS-METRO                                                           ;0;1;1;1;0
1001002990001;299;MAIRIE DE MORANGIS                                                              ;PORTE D'ORLEANS-METRO                                                           ;0;1;1;1;0
1001003010001;301;PABLO PICASSO-METRO                                                             ;VAL DE FONTENAY RER;0;1;0;1;1
1001003020001;302;6 ROUTES-TRAMWAY                                                                ;GARE DU NORD                                                              ;0;1;1;1;0
1001003030001;303;PABLO PICASSO-METRO                                                             ;NOISY-LE-GRAND MONT D'EST-RER                                                          ;0;1;1;1;1
1001003040001;304;PLACE DE LA BOULE                                                               ;LES COURTILLES-METRO                                                            ;0;1;1;1;1
1001003060001;306;NOISY-LE-GRAND MONT D'EST-RER                                                   ;SAINT MAUR-CRETEIL RER                                                          ;0;1;0;1;0
1001003080001;308;VILLIERS SUR MARNE-LE PLESSIS TREVISE-RER                                       ;PREFECTURE DU VAL DE MARNE                                                      ;0;1;0;1;1
1001003120001;312;NOISY-CHAMPS-RER-DESCARTES                                                      ;GARE DE CHELLES-GOURNAY-RER                                                     ;0;0;0;1;0
1001003170001;317;GARE DE NOGENT-LE PERREUX                                                       ;HOTEL DE VILLE DE CRETEIL                                                       ;0;1;0;1;1
1001003180001;318;RAYMOND QUENEAU-METRO                                                           ;CHATEAU DE VINCENNES-METRO                                                      ;1;1;1;1;1
1001003190001;319;RUNGIS-MARCHE INTERNATIONAL                                                     ;MASSY RER                                                                       ;0;1;0;1;0
1001003200001;320;MONT D'EST-RER.                                                                 ;NAVETTE;1;1;1;1;0
1001003210001;321;Z.I.PARIEST                                                                     ;LOGNES RER                                                                      ;0;1;0;1;0
1001003220001;322;PABLO PICASSO-METRO-TRAMWAY                                                     ;MAIRIE DE MONTREUIL-METRO                                                       ;1;1;1;1;0
1001003230001;323;IVRY-SUR-SEINE RER                                                              ;ISSY-VAL DE SEINE-RER-TRAMWAY                                                   ;1;1;1;1;1
1001003250001;325;CHATEAU DE VINCENNES-METRO                                                      ;BIBLIOTHEQUE FRANCOIS MITTERRAND                                                ;0;1;1;1;1
1001003300001;330;RAYMOND QUENEAU-METRO-ANATOLE FRANCE                                            ;FORT D'AUBERVILLIERS-METRO                                                      ;1;1;1;1;0
1001003330001;333;L'ARGENTIERE                                                                    ;GARGES-RER                                                                      ;0;1;0;1;0
1001003340001;334;ROBERT SCHUMAN.                                                                 ;NAVETTE;0;0;0;1;0
1001003400001;340;BERGES DE SEINE                                                              ;GABRIEL PERI-METRO                                                              ;1;1;1;1;0
1001003410001;341;MAIRIE DE CLICHY-METRO                                                          ;PORTE DE CLIGNANCOURT-METRO                                                     ;0;1;0;0;0
1001003460001;346;PLACE DE LA LIBERATION                                                          ;ROSNY 2 - NORD                                                                  ;0;0;0;1;0
